name,firstName,lastName,Email,Department,Region,Location,Inactive,Cost Center
Thomas.Martinez,Thomas,Martinez,Thomas.Martinez@demoexample.com,Information Technology,Americas,Austin,FALSE,R03e, L07e
Dorothy.Robinson,Dorothy,Robinson,Dorothy.Robinson@demoexample.com,Information Technology,Americas,Austin,FALSE,R03e, L07e
Nancy.Lee,Nancy,Lee,Nancy.Lee@demoexample.com,Information Technology,Americas,Austin,FALSE,R03e, L07e
Paul.Walker,Paul,Walker,Paul.Walker@demoexample.com,Information Technology,Americas,Austin,FALSE,R03e, L07e
Donald.Hernandez,Donald,Hernandez,Donald.Hernandez@demoexample.com,Engineering,Americas,Austin,FALSE,R03e, L07e
Helen.King,Helen,King,Helen.King@demoexample.com,Engineering,Americas,Austin,FALSE,R03e, L07e
Donna.Scott,Donna,Scott,Donna.Scott@demoexample.com,Engineering,Americas,Austin,FALSE,R03e, L07e
Steven.Green,Steven,Green,Steven.Green@demoexample.com,Engineering,Americas,Austin,FALSE,R03e, L07e
Brian.Nelson,Brian,Nelson,Brian.Nelson@demoexample.com,Human Resources,Americas,Brazil,FALSE,R03e, L09e
Sharon.Carter,Sharon,Carter,Sharon.Carter@demoexample.com,Human Resources,Americas,Brazil,FALSE,R03e, L09e
Laura.Turner,Laura,Turner,Laura.Turner@demoexample.com,Human Resources,Americas,Brazil,FALSE,R03e, L09e
Kevin.Phillips,Kevin,Phillips,Kevin.Phillips@demoexample.com,Human Resources,Americas,Brazil,FALSE,R03e, L09e
Matthew.Edwards,Matthew,Edwards,Matthew.Edwards@demoexample.com,Inventory,Americas,Brazil,FALSE,R03e, L09e
Deborah.Collins,Deborah,Collins,Deborah.Collins@demoexample.com,Inventory,Americas,Brazil,FALSE,R03e, L09e
Shirley.Rogers,Shirley,Rogers,Shirley.Rogers@demoexample.com,Inventory,Americas,Brazil,FALSE,R03e, L09e
Jose.Reed,Jose,Reed,Jose.Reed@demoexample.com,Inventory,Americas,Brazil,FALSE,R03e, L09e
Jeffrey.Murphy,Jeffrey,Murphy,Jeffrey.Murphy@demoexample.com,Accounting,Americas,San Jose,FALSE,R03e, L08e
Melissa.Bailey,Melissa,Bailey,Melissa.Bailey@demoexample.com,Accounting,Americas,San Jose,FALSE,R03e, L08e
Amy.Cox,Amy,Cox,Amy.Cox@demoexample.com,Accounting,Americas,San Jose,FALSE,R03e, L08e
Eric.Howard,Eric,Howard,Eric.Howard@demoexample.com,Accounting,Americas,San Jose,FALSE,R03e, L08e
Andrew.Gray,Andrew,Gray,Andrew.Gray@demoexample.com,Finance,Americas,San Jose,FALSE,R03e, L08e
Virginia.Ramirez,Virginia,Ramirez,Virginia.Ramirez@demoexample.com,Finance,Americas,San Jose,FALSE,R03e, L08e
Pamela.Kelly,Pamela,Kelly,Pamela.Kelly@demoexample.com,Finance,Americas,San Jose,FALSE,R03e, L08e
Joshua.Sanders,Joshua,Sanders,Joshua.Sanders@demoexample.com,Finance,Americas,San Jose,FALSE,R03e, L08e
Arthur.Bryant,Arthur,Bryant,Arthur.Bryant@demoexample.com,Information Technology,Europe,Brussels,FALSE,R01e, L01e
Ann.Alexander,Ann,Alexander,Ann.Alexander@demoexample.com,Information Technology,Europe,Brussels,FALSE,R01e, L01e
Diane.Hayes,Diane,Hayes,Diane.Hayes@demoexample.com,Information Technology,Europe,Brussels,FALSE,R01e, L01e
